Profit, Revenue, Cost
17443151.6, 17488300, 45148.4
17556583.6, 17601900, 45316.4
17369374.0, 17414100, 44726.0
17465921.2, 17511000, 45078.8
17526459.6, 17571500, 45040.4
17541742.8, 17587100, 45357.2
17508814.0, 17553900, 45086.0
17357754.8, 17402800, 45045.2
17417230.8, 17462000, 44769.2
17473533.2, 17518900, 45366.8
17501974.8, 17547200, 45225.2
17500416.4, 17545800, 45383.6
17475785.2, 17520900, 45114.8
17469365.2, 17514300, 44934.8
17500105.2, 17545400, 45294.8
17456064.4, 17500800, 44735.6
17404956.4, 17449800, 44843.6
17496263.6, 17541400, 45136.4
17515576.4, 17560900, 45323.6
17374499.6, 17419300, 44800.4
17489066.0, 17534200, 45134.0
17525921.2, 17571300, 45378.8
17419823.6, 17465200, 45376.4
17548803.6, 17594300, 45496.4
17532494.0, 17577700, 45206.0
17452743.6, 17497700, 44956.4
17431264.4, 17476300, 45035.6
17410098.8, 17455300, 45201.2
17427604.4, 17472700, 45095.6
17395047.6, 17440100, 45052.4
17474536.4, 17519800, 45263.6
17388786.8, 17433700, 44913.2
17385235.6, 17430000, 44764.4
17423095.6, 17468100, 45004.4
17552172.4, 17597400, 45227.6
17444644.4, 17489500, 44855.6
17389286.8, 17434200, 44913.2
17568350.8, 17613600, 45249.2
17371506.0, 17416400, 44894.0
17344924.4, 17389900, 44975.6
17482530.0, 17527700, 45170.0
17420495.6, 17465500, 45004.4
17429338.0, 17474400, 45062.0
17478187.6, 17523300, 45112.4
17517530.0, 17562700, 45170.0
17376202.8, 17421200, 44997.2
17368958.8, 17413800, 44841.2
17486862.0, 17531900, 45038.0
17473819.6, 17519100, 45280.4
17449363.6, 17494500, 45136.4
17502400.4, 17547700, 45299.6
17316951.6, 17361800, 44848.4
17271322.8, 17315900, 44577.2
17300237.2, 17344800, 44562.8
17501376.4, 17546700, 45323.6
17639462.8, 17685000, 45537.2
17495592.4, 17540700, 45107.6
17422799.6, 17467900, 45100.4
17442618.0, 17487800, 45182.0
17412087.6, 17457200, 45112.4
17320757.2, 17365500, 44742.8
17337351.6, 17382200, 44848.4
17395810.0, 17440800, 44990.0
17435810.8, 17481000, 45189.2
17296058.8, 17340600, 44541.2
17505084.4, 17550300, 45215.6
17367067.6, 17412000, 44932.4
17489498.8, 17534400, 44901.2
17426080.4, 17470900, 44819.6
17510451.6, 17555900, 45448.4
17465112.4, 17510100, 44987.6
17362551.6, 17407400, 44848.4
17441018.0, 17486200, 45182.0
17427482.0, 17472400, 44918.0
17433346.8, 17478500, 45153.2
17364963.6, 17409800, 44836.4
17378383.6, 17423400, 45016.4
17553909.2, 17599300, 45390.8
17357340.4, 17402400, 45059.6
17509800.4, 17554800, 44999.6
17383700.4, 17428400
